name,nproc,mops_total,mops_thread,time_s
sp-mz.C.1,1,,,
sp-mz.C.2,2,,,
sp-mz.C.4,4,,,
sp-mz.C.6,6,,,
sp-mz.C.8,8,,,
sp-mz.C.10,10,,,
sp-mz.C.12,12,,,
sp-mz.C.16,16,,,
