name,nproc,mops_total,mops_thread,time_s
bt-mz.A.1,1,2782.47,2782.47,52.55
bt-mz.A.2,2,5385.25,2692.63,27.15
bt-mz.A.4,4,10604.60,2651.15,13.79
bt-mz.A.6,6,12665.78,2110.96,11.54
bt-mz.A.8,8,7189.53,898.69,20.34
bt-mz.A.10,10,5952.59,595.26,24.56
bt-mz.A.12,12,6349.21,529.10,23.03
bt-mz.A.16,16,4191.74,261.98,34.88
