name,nproc,mops_total,mops_thread,time_s
lu-mz.S.1,1,1398.00,1398.00,0.03
lu-mz.S.2,2,1750.09,875.04,0.03
lu-mz.S.4,4,2470.50,617.62,0.02
lu-mz.S.6,6,2153.93,358.99,0.02
