name,nproc,mops_total,mops_thread,time_s
bt-mz.B.1,1,2820.05,2820.05,213.19
bt-mz.B.2,2,5572.34,2786.17,107.89
bt-mz.B.4,4,11022.64,2755.66,54.54
bt-mz.B.6,6,16383.82,2730.64,36.69
bt-mz.B.8,8,10193.85,1274.23,58.98
bt-mz.B.10,10,11121.36,1112.14,54.06
bt-mz.B.12,12,12214.84,1017.90,49.22
bt-mz.B.16,16,10421.63,651.35,57.69
