name,nproc,mops_total,mops_thread,time_s
lu-mz.A.1,1,,,
lu-mz.A.2,2,,,
lu-mz.A.4,4,,,
lu-mz.A.6,6,,,
lu-mz.A.8,8,,,
lu-mz.A.10,10,,,
lu-mz.A.12,12,,,
lu-mz.A.16,16,,,
