name,nproc,mops_total,mops_thread,time_s
bt-mz.B.1,1,2817.93,2817.93,213.35
bt-mz.B.2,2,5524.76,2762.38,108.82
bt-mz.B.4,4,10777.65,2694.41,55.78
bt-mz.B.6,6,15992.00,2665.33,37.59
bt-mz.B.8,8,10117.16,1264.64,59.42
bt-mz.B.10,10,11047.03,1104.70,54.42
bt-mz.B.12,12,12344.23,1028.69,48.70
bt-mz.B.16,16,10318.77,644.92,58.26
