name,nproc,mops_total,mops_thread,time_s
lu-mz.S.1,1,1396.96,1396.96,0.03
lu-mz.S.2,2,2017.65,1008.83,0.02
lu-mz.S.4,4,2777.65,694.41,0.02
lu-mz.S.6,6,2816.50,469.42,0.02
