name,nproc,mops_total,mops_thread,time_s
bt-mz.C.1,1,2769.85,2769.85,876.21
bt-mz.C.2,2,5540.01,2770.01,438.08
bt-mz.C.4,4,10799.57,2699.89,224.73
bt-mz.C.6,6,16032.91,2672.15,151.38
bt-mz.C.8,8,11938.73,1492.34,203.29
bt-mz.C.10,10,12004.76,1200.48,202.17
bt-mz.C.12,12,13360.45,1113.37,181.65
bt-mz.C.16,16,11445.75,715.36,212.04
