name,nproc,mops_total,mops_thread,time_s
bt-mz.A.1,1,2821.42,2821.42,51.82
bt-mz.A.2,2,5445.54,2722.77,26.85
bt-mz.A.4,4,10742.73,2685.68,13.61
bt-mz.A.6,6,12673.40,2112.23,11.54
bt-mz.A.8,8,7376.80,922.10,19.82
bt-mz.A.10,10,6021.72,602.17,24.28
bt-mz.A.12,12,6295.55,524.63,23.22
bt-mz.A.16,16,4128.78,258.05,35.41
