name,nproc,mops_total,mops_thread,time_s
bt-mz.C.1,1,2781.83,2781.83,872.44
bt-mz.C.2,2,5545.20,2772.60,437.67
bt-mz.C.4,4,10939.98,2735.00,221.85
bt-mz.C.6,6,16373.51,2728.92,148.23
bt-mz.C.8,8,11844.33,1480.54,204.91
bt-mz.C.10,10,12155.09,1215.51,199.67
bt-mz.C.12,12,13556.19,1129.68,179.03
bt-mz.C.16,16,11558.13,722.38,209.98
