name,nproc,mops_total,mops_thread,time_s
bt-mz.W.1,1,2826.01,2826.01,5.08
bt-mz.W.2,2,5602.55,2801.28,2.56
bt-mz.W.4,4,10137.85,2534.46,1.42
bt-mz.W.6,6,11667.68,1944.61,1.23
bt-mz.W.8,8,4134.57,516.82,3.47
bt-mz.W.10,10,3017.54,301.75,4.76
bt-mz.W.12,12,2489.49,207.46,5.77
bt-mz.W.16,16,1793.62,112.10,8.00
