name,nproc,mops_total,mops_thread,time_s
bt-mz.S.1,1,2696.85,2696.85,0.14
bt-mz.S.2,2,4092.42,2046.21,0.09
bt-mz.S.4,4,4029.44,1007.36,0.09
bt-mz.S.6,6,,,
