name,nproc,mops_total,mops_thread,time_s
bt-mz.W.1,1,2864.42,2864.42,5.01
bt-mz.W.2,2,5583.35,2791.67,2.57
bt-mz.W.4,4,10333.94,2583.49,1.39
bt-mz.W.6,6,11708.68,1951.45,1.23
bt-mz.W.8,8,3855.33,481.92,3.72
bt-mz.W.10,10,3344.87,334.49,4.29
bt-mz.W.12,12,2469.95,205.83,5.81
bt-mz.W.16,16,1641.82,102.61,8.74
